Name, "Número atómico", "Símbolo", "Masa", "Masa exacta", "Ionización", "Afinidad electrónica", "Electronegatividad", "Radio covalente", "Radio de Van der Waals", "Punto de fusión", "Punto de ebullición", "Familia"
"Talio", "81", "Tl", "204,383 u", "204.9744275", "6.108 eV", "0.377 eV", "1,62", "148 pm", "220 pm", "577 K", "1746 K", "Other_Metal"
"Plomo", "82", "Pb", "207,2 u", "207.9766521", "7.417 eV", "0.364 eV", "2,33", "147 pm", "230 pm", "600.6 K", "2023 K", "Other_Metal"
"Bismuto", "83", "Bi", "208,98 u", "208.9803987", "7.285 eV", "0.9424 eV", "2,02", "146 pm", "230 pm", "544.6 K", "1837 K", "Other_Metal"
"Polonio", "84", "Po", "209 u", "208.9824304", "8.414 eV", "1.9 eV", "2", "0 pm", "200 pm", "527 K", "0 K", "Metalloids"
"Ástato", "85", "At", "210 u", "209.987148", "0 eV", "2.8 eV", "2,2", "0 pm", "200 pm", "575 K", "610 K", "Halogen"
"Radón", "86", "Rn", "222 u", "222.0175777", "10.75 eV", "0 eV", "Valor no definido", "145 pm", "200 pm", "202 K", "211.4 K", "Noblegas"
"Francio", "87", "Fr", "223 u", "223.0197359", "4.073 eV", "0 eV", "0,7", "0 pm", "200 pm", "300 K", "950 K", "Alkali_Earth"
"Radio", "88", "Ra", "226 u", "226.0254098", "5.278 eV", "0 eV", "0,9", "0 pm", "200 pm", "973 K", "1413 K", "Alkaline_Earth"
"Actinio", "89", "Ac", "227 u", "227.0277521", "5.17 eV", "0 eV", "1,1", "0 pm", "200 pm", "1324 K", "3470 K", "Other_Metal"
"Torio", "90", "Th", "232,038 u", "232.0380553", "6.307 eV", "0 eV", "1,3", "0 pm", "240 pm", "2028 K", "5060 K", "Other_Metal"
"Protactinio", "91", "Pa", "231,036 u", "231.035884", "5.89 eV", "0 eV", "1,5", "0 pm", "200 pm", "1845 K", "4300 K", "Other_Metal"
